Magnatude	Date_Time Depth	Depth
1.4	2015/05/02 22:18:43 HST	7.5
0.3	2015/05/02 21:57:29 HST	0.7
0.1	2015/05/02 21:49:50 HST	2.6
1.3	2015/05/02 21:18:54 HST	9.9
0.4	2015/05/02 20:50:13 HST	1.9
1.5	2015/05/02 20:43:20 HST	1.9
0.1	2015/05/02 20:32:45 HST	1.6
1.9	2015/05/02 20:07:34 HST	33.9
0.6	2015/05/02 19:35:20 HST	1.6
0.9	2015/05/02 19:17:08 HST	0.3
0.4	2015/05/02 19:08:18 HST	0.8
0.5	2015/05/02 19:00:37 HST	0
0.9	2015/05/02 18:45:52 HST	8.7
0.7	2015/05/02 18:32:37 HST	7.5
0.8	2015/05/02 18:24:03 HST	3.4
1.2	2015/05/02 18:16:49 HST	11.8
2	2015/05/02 18:08:08 HST	2.8
1.2	2015/05/02 18:01:19 HST	2.6
1.1	2015/05/02 17:45:02 HST	1.2
1.1	2015/05/02 17:23:17 HST	1.8
0.8	2015/05/02 17:10:00 HST	3.4
1.3	2015/05/02 17:05:42 HST	4
2.3	2015/05/02 17:00:27 HST	1.3
1.4	2015/05/02 16:25:41 HST	1.5
1.3	2015/05/02 15:30:50 HST	2.8
1.6	2015/05/02 15:17:34 HST	2.1
1.3	2015/05/02 15:05:54 HST	3.4
0.1	2015/05/02 13:38:54 HST	1.8
0.9	2015/05/02 13:37:16 HST	6.6
1	2015/05/02 12:55:21 HST	0.6
1.8	2015/05/02 12:55:11 HST	2
0.6	2015/05/02 12:33:24 HST	2.6
1.2	2015/05/02 11:49:37 HST	4.8
2.4	2015/05/02 11:24:23 HST	41.8
0.8	2015/05/02 11:15:45 HST	7.1
1.4	2015/05/02 11:15:24 HST	3.5
1.3	2015/05/02 11:04:23 HST	2.6
1	2015/05/02 10:56:42 HST	2.7
1	2015/05/02 10:53:37 HST	2
1.5	2015/05/02 10:39:58 HST	2.9
2.3	2015/05/02 10:27:26 HST	2.7
