Year	Month	Deviations
1984	12	-0.606
1985	1	0.1904
1985	2	-0.6913
1985	3	0.1753
1985	4	0.2315
1985	5	0.0585
1985	6	0.3057
1985	7	-0.3015
1985	8	0.1494
1985	9	-0.3026
1985	10	-0.0917
1985	11	-0.2754
1985	12	-0.1572
1986	1	0.4784
1986	2	0.667
1986	3	0.5799
1986	4	0.2744
1986	5	0.0574
1986	6	-0.115
1986	7	-0.021
1986	8	0.1046
1986	9	-0.2992
1986	10	-0.2043
1986	11	-0.3494
1986	12	-0.0779
1987	1	0.1143
1987	2	0.8754
1987	3	0.109
1987	4	0.0881
1987	5	0.1751
1987	6	0.2317
1987	7	0.3584
1987	8	-0.32
1987	9	0.1755
1987	10	-0.0845
1987	11	-0.2071
1987	12	0.6535
1988	1	0.6171
1988	2	-0.0542
1988	3	0.867
1988	4	0.5187
1988	5	0.2885
1988	6	0.6757
1988	7	0.2947
1988	8	0.4909
1988	9	0.5491
1988	10	0.5822
1988	11	0.2431
1988	12	0.5815
1989	1	0.042
1989	2	0.3947
1989	3	0.4561
1989	4	-0.0176
1989	5	-0.1216
1989	6	-0.1481
1989	7	0.2311
1989	8	0.3861
1989	9	0.2391
1989	10	0.068
1989	11	-0.0163
1989	12	0.7002
1990	1	0.4502
1990	2	0.4097
1990	3	1.4488
